(-8265, 12243, -2727)
(-8322, 12321, -2826)
(-8379, 12399, -2925)
(-8436, 12477, -3024)
(-8493, 12555, -3123)
(-8550, 12633, -3222)
(-8607, 12711, -3321)
(-8664, 12789, -3420)
(-8721, 12867, -3519)
(-8778, 12945, -3618)
(-8835, 13023, -3717)
(-8892, 13101, -3816)
(-8949, 13179, -3915)
(-9006, 13257, -4014)
(-9063, 13335, -4113)
(-9120, 13413, -4212)
(-9177, 13491, -4311)
(-9234, 13569, -4410)
(-9291, 13647, -4509)
(-9348, 13725, -4608)
(-9405, 13803, -4707)
(-9462, 13881, -4806)
(-9519, 13959, -4905)
(-9576, 14037, -5004)
(-9633, 14115, -5103)
(-9690, 14193, -5202)
(-9747, 14271, -5301)
(-9804, 14349, -5400)
(-9861, 14427, -5499)
(-4169, 6627, 4252)
(-4226, 6705, 4153)
(-4283, 6783, 4054)
(-4340, 6861, 3955)
(-4397, 6939, 3856)
(-4454, 7017, 3757)
(-4511, 7095, 3658)
(-4568, 7173, 3559)
(-4625, 7251, 3460)
(-4682, 7329, 3361)
(-4739, 7407, 3262)
(-4796, 7485, 3163)
(-4853, 7563, 3064)
(-4910, 7641, 2965)
(-4967, 7719, 2866)
(-5024, 7797, 2767)
(-5081, 7875, 2668)
(-5138, 7953, 2569)
(-5195, 8031, 2470)
(-5252, 8109, 2371)
(-5309, 8187, 2272)
(-5366, 8265, 2173)
(-5423, 8343, 2074)
(-5480, 8421, 1975)
(-5537, 8499, 1876)
(-5594, 8577, 1777)
(-5651, 8655, 1678)
(-5708, 8733, 1579)
(-5765, 8811, 1480)
(-5822, 8889, 1381)
(-5879, 8967, 1282)
(-5936, 9045, 1183)
(-5993, 9123, 1084)
(-6050, 9201, 985)
(-6107, 9279, 886)
(-6164, 9357, 787)
(-6221, 9435, 688)
(-6278, 9513, 589)
(-6335, 9591, 490)
(-6392, 9669, 391)
(-6449, 9747, 292)
(-6506, 9825, 193)
(-6563, 9903, 94)
(-6620, 9981, -5)
(-6677, 10059, -104)
(-6734, 10137, -203)
(-6791, 10215, -302)
(-6848, 10293, -401)
(-6905, 10371, -500)
(-6962, 10449, -599)
(-7019, 10527, -698)
(-7076, 10605, -797)
(-7133, 10683, -896)
(-7190, 10761, -995)
(-7247, 10839, -1094)
(-7304, 10917, -1193)
(-7361, 10995, -1292)
(-7418, 11073, -1391)
